conversation_id,conversation_type,turn_id,speaker,text,facet_id,facet_name,domain,score,confidence
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ013,Anaphora Resolution,linguistic_quality,5,0.909
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ014,Redundancy Avoidance,linguistic_quality,4,0.866
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ015,Sentence Length Variety,linguistic_quality,5,0.936
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ016,Active vs Passive Voice,linguistic_quality,4,0.667
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ017,Tense Consistency,linguistic_quality,4,0.717
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ018,Article Usage,linguistic_quality,4,0.893
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ019,Preposition Accuracy,linguistic_quality,4,0.911
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ020,Idiom Appropriateness,linguistic_quality,5,0.972
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ021,Collocational Accuracy,linguistic_quality,4,0.94
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ022,Nominal Group Complexity,linguistic_quality,4,0.835
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ023,Verbal Group Accuracy,linguistic_quality,2,0.734
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ024,Discourse Markers,linguistic_quality,5,0.628
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ025,Sentence Completeness,linguistic_quality,3,0.691
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ026,Parallelism,linguistic_quality,4,0.695
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ027,Modifier Placement,linguistic_quality,5,0.67
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ028,Subject-Verb Agreement,linguistic_quality,5,0.731
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ029,Pronoun-Antecedent Agreement,linguistic_quality,5,0.752
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ030,Conjunction Usage,linguistic_quality,4,0.572
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ031,Negation Accuracy,linguistic_quality,5,0.646
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ032,Comparative/Superlative Forms,linguistic_quality,2,0.962
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ033,Conditional Structures,linguistic_quality,1,0.563
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ034,Relative Clause Usage,linguistic_quality,3,0.911
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ035,Gerund vs Infinitive,linguistic_quality,4,0.653
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ036,Modal Verb Usage,linguistic_quality,4,0.599
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ037,Ellipsis Appropriateness,linguistic_quality,5,0.75
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ038,Reported Speech Accuracy,linguistic_quality,3,0.709
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ039,Hedging Language,linguistic_quality,4,0.964
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ040,Technical Term Accuracy,linguistic_quality,4,0.884
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ041,Nominalization,linguistic_quality,3,0.684
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ042,Abbreviation Clarity,linguistic_quality,4,0.949
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ043,Number/Quantity Expression,linguistic_quality,4,0.94
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ044,List Formatting,linguistic_quality,4,0.955
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ045,Capitalization,linguistic_quality,3,0.805
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ046,Transitional Phrases,linguistic_quality,5,0.654
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ047,Clarity of Expression,linguistic_quality,4,0.68
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ048,Conciseness,linguistic_quality,4,0.896
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ049,Completeness of Information,linguistic_quality,5,0.793
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ050,Overall Linguistic Quality,linguistic_quality,1,0.779
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ051,Lexical Diversity,linguistic_quality,4,0.58
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ052,Sentence Boundary Accuracy,linguistic_quality,4,0.555
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ053,Discourse Structure,linguistic_quality,4,0.761
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ054,Topicality,linguistic_quality,4,0.706
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ055,Information Density,linguistic_quality,5,0.748
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ056,Subordination Accuracy,linguistic_quality,3,0.626
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ057,Coordination Accuracy,linguistic_quality,4,0.83
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ058,Cleft Sentence Usage,linguistic_quality,4,0.945
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ059,Existential Sentence Usage,linguistic_quality,5,0.75
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ060,Wh-Question Formation,linguistic_quality,5,0.805
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ061,Yes/No Question Formation,linguistic_quality,3,0.656
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ062,Indirect Question Accuracy,linguistic_quality,5,0.67
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ063,Tag Question Usage,linguistic_quality,4,0.873
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ064,Exclamation Appropriateness,linguistic_quality,4,0.837
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ065,Quotation Marking,linguistic_quality,3,0.763
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ066,Parenthetical Usage,linguistic_quality,3,0.76
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ067,Apposition Usage,linguistic_quality,4,0.661
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ068,Cohort Reference,linguistic_quality,3,0.806
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ069,Deixis Resolution,linguistic_quality,5,0.789
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ070,Text Segmentation,linguistic_quality,4,0.632
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ071,Heading Usage,linguistic_quality,3,0.725
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ072,Bullet/List Appropriateness,linguistic_quality,4,0.653
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ073,Code/Technical Block Usage,linguistic_quality,4,0.856
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ074,Hyperlink Appropriateness,linguistic_quality,4,0.557
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",LQ075,Footnote/Endnote Usage,linguistic_quality,3,0.724
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR001,Speech Act Identification,pragmatics,3,0.836
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR002,Illocutionary Force,pragmatics,4,0.788
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR003,Perlocutionary Effect,pragmatics,3,0.979
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR004,Relevance,pragmatics,4,0.701
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR005,Informativeness,pragmatics,4,0.682
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR006,Grice's Maxim of Quantity,pragmatics,3,0.86
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR007,Grice's Maxim of Quality,pragmatics,3,0.869
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR008,Grice's Maxim of Relation,pragmatics,5,0.847
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR009,Grice's Maxim of Manner,pragmatics,3,0.868
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR010,Implicature Handling,pragmatics,3,0.804
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR011,Presupposition Management,pragmatics,5,0.807
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR012,Reference Resolution,pragmatics,5,0.908
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR013,Context Tracking,pragmatics,3,0.705
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR014,Topic Management,pragmatics,3,0.854
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR015,Turn-Taking Signals,pragmatics,2,0.57
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR016,Adjacency Pair Completion,pragmatics,2,0.676
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR017,Repair Initiation,pragmatics,5,0.824
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR018,Clarification Requests,pragmatics,5,0.594
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR019,Acknowledgment Tokens,pragmatics,1,0.672
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR020,Backchanneling,pragmatics,4,0.697
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR021,Face-Threatening Act Management,pragmatics,5,0.659
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR022,Politeness Strategy,pragmatics,5,0.599
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR023,Indirectness Level,pragmatics,2,0.761
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR024,Hedge Calibration,pragmatics,4,0.845
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR025,Discourse Purpose Alignment,pragmatics,3,0.899
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR026,Inference Drawing,pragmatics,5,0.587
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR027,Common Ground Management,pragmatics,3,0.79
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR028,Accommodation,pragmatics,4,0.806
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR029,Conversational Implicature Generation,pragmatics,4,0.884
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR030,Register Matching,pragmatics,4,0.941
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR031,Formality Calibration,pragmatics,3,0.803
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR032,Directness Appropriateness,pragmatics,4,0.795
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR033,Power Dynamics Awareness,pragmatics,2,0.963
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR034,Social Distance Calibration,pragmatics,2,0.878
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR035,Humor Appropriateness,pragmatics,4,0.664
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR036,Irony/Sarcasm Detection,pragmatics,2,0.653
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR037,Metaphor Appropriateness,pragmatics,4,0.617
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR038,Euphemism Usage,pragmatics,4,0.846
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR039,Taboo Avoidance,pragmatics,4,0.564
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR040,Apology Adequacy,pragmatics,3,0.672
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR041,Gratitude Expression,pragmatics,5,0.581
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR042,Compliment Response,pragmatics,3,0.664
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR043,Complaint Handling,pragmatics,5,0.804
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR044,Request Formulation,pragmatics,5,0.635
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR045,Offer Appropriateness,pragmatics,2,0.647
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR046,Refusal Politeness,pragmatics,2,0.664
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR047,Agreement Signaling,pragmatics,2,0.576
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR048,Disagreement Mitigation,pragmatics,5,0.806
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR049,Topic Initiation Appropriateness,pragmatics,5,0.946
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR050,Topic Closing Signals,pragmatics,4,0.752
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR051,Conversation Closing,pragmatics,3,0.723
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR052,Greeting Appropriateness,pragmatics,3,0.782
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR053,Interruption Handling,pragmatics,4,0.807
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR054,Overlap Management,pragmatics,5,0.866
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR055,Silence Interpretation,pragmatics,4,0.561
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR056,Non-Literal Language,pragmatics,3,0.84
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR057,Cultural Reference Appropriateness,pragmatics,5,0.802
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR058,Audience Design,pragmatics,1,0.879
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR059,Addressee Distinctions,pragmatics,5,0.798
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR060,Bystander Awareness,pragmatics,5,0.625
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR061,Genre Conventions,pragmatics,4,0.74
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR062,Medium Appropriateness,pragmatics,3,0.979
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR063,Temporal Relevance,pragmatics,4,0.9
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR064,Causal Coherence,pragmatics,5,0.752
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR065,Contrastive Coherence,pragmatics,4,0.688
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR066,Additive Coherence,pragmatics,2,0.619
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR067,Elaboration Quality,pragmatics,4,0.763
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR068,Summarization Accuracy,pragmatics,4,0.722
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR069,Argumentation Quality,pragmatics,5,0.566
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR070,Evidence Usage,pragmatics,2,0.659
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR071,Concession Handling,pragmatics,2,0.882
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR072,Counter-Argument Quality,pragmatics,5,0.905
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR073,Narrative Coherence,pragmatics,1,0.924
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR074,Description Adequacy,pragmatics,4,0.573
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",PR075,Instruction Clarity,pragmatics,4,0.818
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",SA001,Harmful Content Avoidance,safety,4,0.74
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",SA002,Toxicity Level,safety,2,0.665
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",SA003,Hate Speech Detection,safety,2,0.674
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",SA004,Bias Identification,safety,5,0.758
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",SA005,Stereotyping Avoidance,safety,1,0.821
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",SA006,Privacy Respect,safety,5,0.855
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",SA007,Personal Information Handling,safety,3,0.556
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",SA008,Misinformation Detection,safety,4,0.647
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",SA009,Factual Accuracy,safety,5,0.599
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",SA010,Disclaimer Appropriateness,safety,5,0.829
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",SA011,Violence Avoidance,safety,3,0.951
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",SA012,Self-Harm Risk,safety,3,0.853
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",SA013,Dangerous Information Avoidance,safety,4,0.757
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",SA014,Legal Compliance,safety,4,0.746
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",SA015,Intellectual Property Respect,safety,2,0.632
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",SA016,Consent Awareness,safety,4,0.871
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",SA017,Manipulation Avoidance,safety,2,0.58
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",SA018,Deception Avoidance,safety,5,0.917
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",SA019,Scam/Fraud Signals,safety,3,0.889
CONV001,customer_support,1,user,"Hi, I ordered a laptop 2 weeks ago and it still hasn't arrived. My order number is #12345.",SA020,Child Safety,safety,3,0.551
